image,tag,result,k,object_ratio,background_ratio,k_x_object_ratio,k_x_background_ratio,perturbed_pixel,pixel_perturbed_percentage,total_pixel
n01560419_bulbul,object,safe,1568.0,0.6496133609693877,0.3503866390306123,1018.5937499999999,549.4062500000001,1018.5937499999999,2.030041753,50176.0
n01580077_jay,whole-image,unsafe,1568.0,0.7780412946428571,0.2219587053571429,1219.96875,348.03125000000006,1568.0,3.125,50176.0
n01580077_jay,background,unsafe,1568.0,0.7780412946428571,0.2219587053571429,1219.96875,348.03125000000006,348.03125000000006,0.6936209542,50176.0
n01592084_chickadee,background,safe,25088.0,0.6639030612244898,0.33609693877551017,16656.0,8432.0,8432.0,16.8048469388,50176.0
n01592084_chickadee,object,safe,25088.0,0.6639030612244898,0.33609693877551017,16656.0,8432.0,16656.0,33.1951530612,50176.0
n01601694_water_ouzel,whole-image,unsafe,25088.0,0.7162587691326531,0.2837412308673469,17969.5,7118.5,25088.0,50.0,50176.0
n01601694_water_ouzel,background,unsafe,25088.0,0.7162587691326531,0.2837412308673469,17969.5,7118.5,7118.5,14.1870615434,50176.0
n01601694_water_ouzel,object,unsafe,25088.0,0.7162587691326531,0.2837412308673469,17969.5,7118.5,17969.5,35.8129384566,50176.0
n01531178_goldfinch,whole-image,unsafe,25088.0,0.7751116071428571,0.2248883928571429,19446.0,5642.000000000001,25088.0,50.0,50176.0
n01531178_goldfinch,background,unsafe,25088.0,0.7751116071428571,0.2248883928571429,19446.0,5642.000000000001,5642.000000000001,11.2444196429,50176.0
n01531178_goldfinch,object,unsafe,25088.0,0.7751116071428571,0.2248883928571429,19446.0,5642.000000000001,19446.0,38.7555803571,50176.0
n01532829_house_finch,whole-image,unknown,25088.0,0.7048788265306123,0.2951211734693877,17684.0,7403.999999999999,25088.0,50.0,50176.0
n01532829_house_finch,background,safe,25088.0,0.7048788265306123,0.2951211734693877,17684.0,7403.999999999999,7403.999999999999,14.7560586735,50176.0
n01532829_house_finch,object,safe,25088.0,0.7048788265306123,0.2951211734693877,17684.0,7403.999999999999,17684.0,35.2439413265,50176.0
n01534433_junco,whole-image,safe,25088.0,0.5240353954081632,0.47596460459183676,13147.0,11941.0,25088.0,50.0,50176.0
n01534433_junco,background,safe,25088.0,0.5240353954081632,0.47596460459183676,13147.0,11941.0,11941.0,23.7982302296,50176.0
