image,imagenet_id,segment_index,tag,mask_path,resolved_mask_path,status,r,lambda,c,outer_frac,flip_score,is_flipped,decision_rule
n01944390_snail,113,0,fix_mask,property_masks/n01944390_snail_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01944390_snail_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1212332589285714,0.7575209600526056,0.06279796153213875,0.8822949202696038,0.17098392026960374,True,outer_band_dominant
n01945685_slug,114,0,fix_mask,property_masks/n01945685_slug_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01945685_slug_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.4730548469387755,0.6982642399730368,0.28686383552409844,0.385701044826424,0.07114984693877546,True,large_mask_ratio
n01950731_sea_slug,115,0,fix_mask,property_masks/n01950731_sea_slug_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01950731_sea_slug_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1019610969387755,0.33014073494917906,0.4102814698983581,0.4302189210320563,-0.28109207896794375,False,default
n01955084_chiton,116,0,fix_mask,property_masks/n01955084_chiton_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01955084_chiton_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1585618622448979,0.5439919557566616,0.0,0.9994972347913524,0.2881862347913524,True,outer_band_dominant
n01968897_chambered_nautilus,117,0,fix_mask,property_masks/n01968897_chambered_nautilus_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01968897_chambered_nautilus_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.236945950255102,0.41786525359576077,0.03675666582555303,0.8279922617545631,0.11668126175456306,True,outer_band_dominant
n01978455_rock_crab,119,0,fix_mask,property_masks/n01978455_rock_crab_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01978455_rock_crab_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0255500637755102,0.18174726989079562,0.18174726989079562,0.5475819032761311,-0.16372909672386893,False,small_mask_guard
n01980166_fiddler_crab,120,0,fix_mask,property_masks/n01980166_fiddler_crab_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01980166_fiddler_crab_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1780333227040816,0.9777230493675138,0.7238329788424941,0.03134445315123699,0.00803332270408158,True,central_compact_object
n01981276_king_crab,121,0,fix_mask,property_masks/n01981276_king_crab_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01981276_king_crab_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.4810666454081632,0.6452895848869004,0.2842820449084431,0.4364901814566244,0.07916164540816317,True,large_mask_ratio
n01983481_American_lobster,122,0,fix_mask,property_masks/n01983481_American_lobster_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01983481_American_lobster_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.4926259566326531,0.7121935431669228,0.3870054211505785,0.3024921110122178,0.09072095663265306,True,large_mask_ratio
n01984695_spiny_lobster,123,0,fix_mask,property_masks/n01984695_spiny_lobster_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01984695_spiny_lobster_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.5961615114795918,0.5489252164610704,0.21612676762611574,0.4796576739210377,0.19425651147959183,True,large_mask_ratio
n01986214_hermit_crab,125,0,fix_mask,property_masks/n01986214_hermit_crab_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01986214_hermit_crab_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2698301977040816,0.8854420562818525,0.08686018169731885,0.675603811212054,-0.03016980229591837,False,default
n01990800_isopod,126,0,fix_mask,property_masks/n01990800_isopod_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01990800_isopod_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0277024872448979,0.18273381294964028,0.35251798561151076,0.4014388489208633,-0.30987215107913674,False,small_mask_guard
n02002556_white_stork,127,0,fix_mask,property_masks/n02002556_white_stork_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02002556_white_stork_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.3172233737244898,0.9842306967393353,0.630897782245398,0.12452095244078658,0.025479047559213416,True,central_compact_object
n02002724_black_stork,128,0,fix_mask,property_masks/n02002724_black_stork_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02002724_black_stork_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2064134247448979,0.8447426861060152,0.582311480158347,0.20643043352322102,-0.056430433523221024,False,default
n02006656_spoonbill,129,0,fix_mask,property_masks/n02006656_spoonbill_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02006656_spoonbill_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0159239477040816,0.2816020025031289,0.5957446808510638,0.1439299123904881,-0.3859810522959184,False,small_mask_guard
n02007558_flamingo,130,0,fix_mask,property_masks/n02007558_flamingo_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02007558_flamingo_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.3537547831632653,0.8140281690140845,0.18146478873239436,0.5075492957746479,-0.0359718309859155,False,default
n02009229_little_blue_heron,131,0,fix_mask,property_masks/n02009229_little_blue_heron_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02009229_little_blue_heron_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1548947704081632,0.5337107565620175,0.49935666495110653,0.22876994338651568,-0.2470102295918368,False,default
n02009912_American_egret,132,0,fix_mask,property_masks/n02009912_American_egret_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02009912_American_egret_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0267657844387755,0.533879374534624,0.12509307520476545,0.41697691734921816,-0.11073307520476545,False,small_mask_guard
n02011460_bittern,133,0,fix_mask,property_masks/n02011460_bittern_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02011460_bittern_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0711495535714285,0.19747899159663865,0.1030812324929972,0.6420168067226891,-0.0692941932773109,False,small_mask_guard
n02012849_crane,134,0,fix_mask,property_masks/n02012849_crane_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n02012849_crane_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1747050382653061,0.7230207620351358,0.48574036048368696,0.3161076887976272,-0.1269792379648642,False,default
n01824575_coucal,91,0,fix_mask,property_masks/n01824575_coucal_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01824575_coucal_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.7652064732142857,0.46907149368407347,0.20554759734340408,0.4723271259278552,0.3633014732142857,True,large_mask_ratio
n01828970_bee_eater,92,0,fix_mask,property_masks/n01828970_bee_eater_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01828970_bee_eater_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0761918048469387,0.14935914203505102,0.2312320167407795,0.5545383206905572,-0.15677267930944283,False,small_mask_guard
n01829413_hornbill,93,0,fix_mask,property_masks/n01829413_hornbill_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01829413_hornbill_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2464126275510204,0.6447751536719508,0.12835651892591393,0.5235360724684568,-0.11399651892591393,False,default
n01833805_hummingbird,94,0,fix_mask,property_masks/n01833805_hummingbird_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01833805_hummingbird_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2087850765306122,0.8591065292096219,0.5798014509354715,0.18127147766323023,-0.03127147766323024,False,default
n01843065_jacamar,95,0,fix_mask,property_masks/n01843065_jacamar_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01843065_jacamar_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2956194196428571,0.9661565428436594,0.4134699656172049,0.26387109822692645,-0.004380580357142894,False,default
n01843383_toucan,96,0,fix_mask,property_masks/n01843383_toucan_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01843383_toucan_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2886838329081632,0.31929582326544703,0.19123230928546772,0.5676907145322748,-0.11322116709183683,False,default
n01847000_drake,97,0,fix_mask,property_masks/n01847000_drake_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01847000_drake_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1190609056122449,0.9298627385336458,0.711248744559759,0.12838968865082023,-0.05093909438775511,False,default
n01855032_red-breasted_merganser,98,0,fix_mask,property_masks/n01855032_red-breasted_merganser_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01855032_red-breasted_merganser_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0774473852040816,0.10138960370560988,0.31240349974266596,0.31600617601646935,-0.298043499742666,False,small_mask_guard
n01855672_goose,99,0,fix_mask,property_masks/n01855672_goose_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01855672_goose_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0567203443877551,0.4645115952213633,0.36191145467322555,0.34855938158819394,-0.33548840477863673,False,small_mask_guard
n01860187_black_swan,100,0,fix_mask,property_masks/n01860187_black_swan_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01860187_black_swan_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2663823341836734,0.9205446655693551,0.5786323507406853,0.19093221607062696,-0.04093221607062697,False,default
