image,k,eps,segment_index,model,onnx,fix_mask_row_index,fix_nonmask_row_index,fix_mask_old_result,fix_mask_new_result,fix_nonmask_old_result,fix_nonmask_new_result,result_differed,fix_mask_old_bab_time,fix_mask_new_bab_time,fix_nonmask_old_bab_time,fix_nonmask_new_bab_time,bab_time_differed,fix_mask_old_all_time,fix_mask_new_all_time,fix_nonmask_old_all_time,fix_nonmask_new_all_time,all_time_differed,any_swapped_value_changed
n01986214_hermit_crab,25088.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,535,536,sat True,sat True,sat True,sat True,False,,,,,False,36.8080940246582,36.77348971366882,36.77348971366882,36.8080940246582,True,True
n01986214_hermit_crab,50176.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,907,908,sat True,sat True,sat True,sat True,False,,,,,False,36.4487566947937,37.6217188835144,37.6217188835144,36.4487566947937,True,True
n02002556_white_stork,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,448,449,sat False,sat False,sat False,sat False,False,1.268641233444214,1.6016523838043213,1.6016523838043213,1.268641233444214,True,37.55486011505127,36.80462884902954,36.80462884902954,37.55486011505127,True,True
n02002556_white_stork,3136.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,820,821,sat False,sat False,sat False,sat False,False,0.902456760406494,0.9413235187530518,0.9413235187530518,0.902456760406494,True,36.71017003059387,36.89162850379944,36.89162850379944,36.71017003059387,True,True
n02002556_white_stork,6272.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,727,728,sat True,sat True,sat True,sat True,False,,,,,False,35.81146788597107,35.11282157897949,35.11282157897949,35.81146788597107,True,True
n02002556_white_stork,12544.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,634,635,sat True,sat True,sat True,sat True,False,,,,,False,38.56361413002014,36.64264488220215,36.64264488220215,38.56361413002014,True,True
n02002556_white_stork,25088.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,541,542,sat True,sat True,sat True,sat True,False,,,,,False,35.89191246032715,36.862136125564575,36.862136125564575,35.89191246032715,True,True
n02002556_white_stork,50176.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,913,914,sat True,sat True,sat True,sat True,False,,,,,False,35.21250104904175,34.63114595413208,34.63114595413208,35.21250104904175,True,True
n02002724_black_stork,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,451,452,unsat False,unsat False,unsat False,unsat False,False,581.0339760780334,593.1684670448303,593.1684670448303,581.0339760780334,True,617.3683831691742,627.5608048439026,627.5608048439026,617.3683831691742,True,True
n02002724_black_stork,3136.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,823,824,unsat False,unsat False,unsat False,unsat False,False,617.0098299980164,618.3239424228668,618.3239424228668,617.0098299980164,True,652.5351564884186,653.9808962345123,653.9808962345123,652.5351564884186,True,True
n02002724_black_stork,6272.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,730,731,unsat False,unsat False,unsat False,unsat False,False,645.1641800403595,646.0745596885681,646.0745596885681,645.1641800403595,True,688.5934858322144,689.1748704910278,689.1748704910278,688.5934858322144,True,True
n02002724_black_stork,12544.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,637,638,unsat False,unsat False,unsat False,unsat False,False,678.9724767208099,686.9557688236237,686.9557688236237,678.9724767208099,True,721.8134303092957,730.2613198757172,730.2613198757172,721.8134303092957,True,True
n02002724_black_stork,25088.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,544,545,unsat False,unsat False,unsat False,unsat False,False,676.2884030342102,743.2762231826782,743.2762231826782,676.2884030342102,True,720.405962228775,786.4764461517334,786.4764461517334,720.405962228775,True,True
n02002724_black_stork,50176.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,916,917,unsat False,timeout False,timeout False,unsat False,True,679.4715085029602,2769.2399888038635,2769.2399888038635,679.4715085029602,True,721.9357612133026,2814.414493083954,2814.414493083954,721.9357612133026,True,True
n02007558_flamingo,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,457,458,sat False,sat False,sat False,sat False,False,1.7255351543426514,1.7269837856292725,1.7269837856292725,1.7255351543426514,True,37.2261438369751,38.86849522590637,38.86849522590637,37.2261438369751,True,True
n02007558_flamingo,3136.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,829,830,sat False,sat False,sat False,sat False,False,1.7205185890197754,1.7842791080474854,1.7842791080474854,1.7205185890197754,True,37.57827711105347,37.522106647491455,37.522106647491455,37.57827711105347,True,True
